,title,subtitle,link
0,"'I could've pushed for another IPL cycle, but didn't want to end up with any guilt'","'I could've pushed for another IPL cycle, but didn't want to end up with any guilt'",https://www.cricbuzz.com/cricket-news/130548/i-couldve-pushed-for-another-ipl-cycle-but-didnt-want-to-end-up-with-any-guilt
1,Breakdown: To open with Kohli or not and the Dube flexibility,Breakdown: To open with Kohli or not and the Dube flexibility,https://www.cricbuzz.com/cricket-news/130293/breakdown-to-open-with-kohli-or-not-and-the-dube-flexibility
2,"BCCI, Gautam Gambhir discuss India coach role","BCCI, Gautam Gambhir discuss India coach role",https://www.cricbuzz.com/cricket-news/130545/bcci-gautam-gambhir-discuss-india-coach-role
3,Inside the American T20 revolution,Inside the American T20 revolution,https://www.cricbuzz.com/cricket-news/130512/inside-the-american-t20-revolution
4,KKR - A successful revival led by the old guard,KKR - A successful revival led by the old guard,https://www.cricbuzz.com/cricket-news/130538/kkr-a-successful-revival-led-by-the-old-guard
5,Sunrisers Hyderabad: A near-perfect season of redemption,Sunrisers Hyderabad: A near-perfect season of redemption,https://www.cricbuzz.com/cricket-news/130537/sunrisers-hyderabad-a-near-perfect-season-of-redemption
6,Rajasthan Royals: Another promising yet unfulfilled season,Rajasthan Royals: Another promising yet unfulfilled season,https://www.cricbuzz.com/cricket-news/130522/rajasthan-royals-another-promising-yet-unfulfilled-season
7,"RCB: Incongruous in April, irresistible in May","RCB: Incongruous in April, irresistible in May",https://www.cricbuzz.com/cricket-news/130501/rcb-incongruous-in-april-irresistible-in-may
8,"MLC gets List A status, eyes expansion to 10 teams","MLC gets List A status, eyes expansion to 10 teams",https://www.cricbuzz.com/cricket-news/130543/mlc-gets-list-a-status-eyes-expansion-to-10-teams
9,"Oman, Namibia and Scotland prepare for big-beast kill","Oman, Namibia and Scotland prepare for big-beast kill",https://www.cricbuzz.com/cricket-news/130546/oman-namibia-and-scotland-prepare-for-big-beast-kill
10,Hopes high that IPL injection will boost South Africa,Hopes high that IPL injection will boost South Africa,https://www.cricbuzz.com/cricket-news/130541/hopes-high-that-ipl-injection-will-boost-south-africa
11,Injured Jason Holder out of T20 World Cup,Injured Jason Holder out of T20 World Cup,https://www.cricbuzz.com/cricket-news/130529/injured-jason-holder-out-of-t20-world-cup
12,"Pakistan selection panel, except Yousuf, was against nominating deputy","Pakistan selection panel, except Yousuf, was against nominating deputy",https://www.cricbuzz.com/cricket-news/130521/pakistan-selection-panel-except-yousuf-was-against-nominating-deputy
